City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Karpathos,GR,35.507,27.2132,53.6,71,0,8.05,clear sky
191,Hasaki,JP,35.7333,140.8333,64.0,94,75,3.44,broken clouds
192,Roma,US,43.2128,-75.4557,48.2,81,75,6.91,broken clouds
193,Tura,IN,25.5198,90.2201,75.16,33,0,4.43,clear sky
194,Makasar,ID,-5.14,119.4221,77.0,94,20,2.3,light rain
195,Grand Gaube,MU,-20.0064,57.6608,75.99,82,7,4.65,clear sky
196,Puerto Gaitan,CO,4.3133,-72.0816,77.13,77,96,10.25,overcast clouds
197,Coquimbo,CL,-29.9533,-71.3436,57.2,82,0,5.75,clear sky
198,Turukhansk,RU,65.8167,87.9833,-6.11,99,100,3.98,overcast clouds
199,Lahij,YE,13.1667,44.5833,70.66,48,4,0.72,clear sky
200,Santa Cruz,BO,-17.8,-63.1667,73.4,64,75,6.91,broken clouds
201,Kavieng,PG,-2.5744,150.7967,86.09,64,61,15.5,broken clouds
202,Esperance,AU,-33.8667,121.9,77.0,44,0,16.11,clear sky
203,Poum,NC,-20.2333,164.0167,80.74,74,14,5.44,few clouds
204,Canillo,AD,42.5833,1.6667,45.0,65,0,2.51,clear sky
205,Upernavik,GL,72.7868,-56.1549,-24.48,79,15,4.68,few clouds
206,Vardo,NO,70.3705,31.1107,33.42,88,63,16.71,broken clouds
207,Jalu,LY,29.0331,21.5482,55.6,50,5,7.4,clear sky
208,Cayenne,GF,4.9333,-52.3333,80.6,78,40,9.22,scattered clouds
209,Paamiut,GL,61.994,-49.6678,5.95,80,32,8.48,scattered clouds
210,Kirkuk,IQ,35.4681,44.3922,46.78,54,0,6.58,clear sky
211,Leningradskiy,RU,69.3833,178.4167,-1.43,91,100,4.99,overcast clouds
212,Eydhafushi,MV,5.1033,73.0708,82.72,75,99,11.7,overcast clouds
213,Gizo,SB,-8.103,156.8419,85.06,67,100,5.53,overcast clouds
214,Mount Gambier,AU,-37.8333,140.7667,62.6,77,90,5.75,overcast clouds
215,Sant Feliu De Guixols,ES,41.7833,3.0333,46.99,93,0,3.44,clear sky
216,Biltine,TD,14.5333,20.9167,73.13,10,0,17.87,clear sky
217,Tiznit,MA,29.5833,-9.5,62.24,53,56,2.3,broken clouds
218,Sibu,MY,2.3,111.8167,77.0,94,20,2.3,few clouds
219,Senno,RU,59.5336,33.9167,41.0,59,100,5.99,light rain
220,Voskresenskoye,RU,56.8381,45.4317,10.89,100,92,2.48,overcast clouds
221,Kruisfontein,ZA,-34.0033,24.7314,62.01,79,100,4.0,overcast clouds
222,Port Blair,IN,11.6667,92.75,82.31,73,100,4.34,overcast clouds
223,Provideniya,RU,64.3833,-173.3,17.13,90,100,22.75,light snow
224,Ferlach,AT,46.5269,14.3019,37.99,87,100,5.75,overcast clouds
225,Floro,NO,61.5996,5.0328,42.8,65,90,23.02,light intensity drizzle
226,Tevriz,RU,57.509,72.4042,15.75,91,100,10.22,overcast clouds
227,Portobelo,PA,9.55,-79.65,81.0,80,37,18.99,scattered clouds
228,Causapscal,CA,48.3542,-67.227,28.99,9,100,19.93,snow
229,Linxia,CN,35.6003,103.2064,46.33,28,76,2.42,broken clouds
230,Antofagasta,CL,-23.65,-70.4,62.6,72,0,8.05,clear sky
231,Araguaina,BR,-7.1911,-48.2072,75.38,82,96,3.69,overcast clouds
232,Boralday,KZ,43.3578,76.8594,44.6,87,90,6.71,overcast clouds
233,Charters Towers,AU,-20.1,146.2667,82.96,47,90,14.61,overcast clouds
234,Camopi,GF,3.1655,-52.3158,72.09,99,100,2.08,overcast clouds
235,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,72,0,8.05,clear sky
236,Torata,PE,-17.0769,-70.8433,59.59,74,10,1.61,clear sky
237,Ust-Nera,RU,64.5667,143.2,10.08,91,98,6.02,overcast clouds
238,Itaituba,BR,-4.2761,-55.9836,82.4,83,0,2.28,clear sky
239,Havoysund,NO,70.9963,24.6622,33.8,60,0,6.91,clear sky
240,Thinadhoo,MV,0.5333,72.9333,78.96,86,100,33.69,light rain
241,Luganville,VU,-15.5333,167.1667,83.55,79,22,9.73,few clouds
242,Iqaluit,CA,63.7506,-68.5145,12.2,85,90,8.05,light snow
243,Wote,KE,-1.7808,37.6288,67.37,79,100,1.19,overcast clouds
244,Fortuna,US,40.5982,-124.1573,51.01,87,90,12.66,overcast clouds
245,Snyder,US,32.7179,-100.9176,68.0,21,1,6.91,clear sky
246,Passo De Camaragibe,BR,-9.2368,-35.4901,75.2,100,75,2.3,broken clouds
247,Rio Pardo,BR,-29.9897,-52.3781,64.96,90,26,4.61,scattered clouds
248,Elizabeth City,US,36.2946,-76.2511,71.6,73,1,18.41,clear sky
249,Honningsvag,NO,70.9821,25.9704,33.17,73,97,11.39,overcast clouds
250,Turayf,SA,31.6725,38.6637,44.6,53,0,4.61,clear sky
251,Omsukchan,RU,62.5333,155.8,9.75,70,89,3.44,overcast clouds
252,Sovetsk,RU,55.0839,21.8785,37.54,82,98,9.66,overcast clouds
253,Pacific Grove,US,36.6177,-121.9166,57.0,83,0,8.01,clear sky
254,Vancouver,CA,49.2497,-123.1193,45.0,70,75,25.32,broken clouds
255,Peleduy,RU,59.6289,112.7406,23.11,89,74,1.81,broken clouds
256,Maniitsoq,GL,65.4167,-52.9,1.24,61,21,8.81,few clouds
257,Chake Chake,TZ,-5.2459,39.7666,79.52,80,82,3.33,broken clouds
258,Dunedin,NZ,-45.8742,170.5036,62.01,72,7,10.0,clear sky
259,Muros,ES,42.7762,-9.0603,53.01,82,0,8.16,clear sky
260,Acapulco,MX,16.8634,-99.8901,82.4,69,1,10.36,clear sky
261,El Alto,PE,-4.2714,-81.2147,70.93,72,26,8.66,scattered clouds
262,Lorengau,PG,-2.0226,147.2712,84.85,72,100,9.28,overcast clouds
263,Kyaukse,MM,21.6,96.1333,75.2,53,75,6.17,haze
264,Maple Creek,CA,49.9168,-109.4848,60.8,21,66,24.16,broken clouds
265,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,74,90,14.97,light snow
266,Podgornoye,RU,51.735,39.1496,24.8,93,0,4.47,clear sky
267,Pisco,PE,-13.7,-76.2167,69.8,73,0,19.57,clear sky
268,Dandong,CN,40.1292,124.3947,49.71,28,0,12.57,clear sky
269,Madang,PG,-5.2246,145.7966,82.53,80,100,3.71,overcast clouds
270,Karlstad,SE,59.3793,13.5036,41.0,100,90,11.5,overcast clouds
271,Klaksvik,FO,62.2266,-6.589,42.8,81,40,10.36,scattered clouds
272,Eenhana,NA,-17.4667,16.3333,66.06,75,0,6.35,clear sky
273,Russell,US,32.3502,-85.1999,62.6,72,75,12.66,broken clouds
274,Poggibonsi,IT,43.4724,11.1456,52.0,85,0,0.83,clear sky
275,Hendek,TR,40.7994,30.7481,46.0,100,40,1.14,scattered clouds
276,Talnakh,RU,69.4865,88.3972,-12.5,99,97,4.76,overcast clouds
277,Codrington,AU,-38.2667,141.9667,63.82,57,6,7.9,clear sky
278,Ancud,CL,-41.8697,-73.8203,62.6,72,0,12.66,clear sky
279,Artyom,AZ,40.4723,50.333,46.4,87,0,4.61,clear sky
280,Chabahar,IR,25.2919,60.643,79.25,55,99,5.23,overcast clouds
281,Itubera,BR,-13.7322,-39.1492,70.74,91,3,1.14,clear sky
282,Havelock,US,34.8791,-76.9013,66.99,85,100,8.01,moderate rain
283,Santa Rosalia,MX,27.3167,-112.2833,75.81,22,44,7.49,scattered clouds
284,Garowe,SO,8.4054,48.4845,70.75,67,96,4.83,overcast clouds
285,Retz,AT,48.7494,15.9624,39.0,77,100,3.85,overcast clouds
286,Skara,SE,58.3866,13.4384,44.6,76,90,11.5,overcast clouds
287,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,16.11,clear sky
288,Mar Del Plata,AR,-38.0023,-57.5575,66.0,88,40,10.36,scattered clouds
289,Goderich,CA,43.7501,-81.7165,35.6,87,100,21.85,overcast clouds
290,Nizhniy Odes,RU,63.6445,54.856,30.18,97,100,6.13,overcast clouds
291,Geraldton,AU,-28.7667,114.6,75.2,64,0,6.91,clear sky
292,Enying,HU,46.9305,18.242,44.01,63,49,5.99,scattered clouds
293,Khatanga,RU,71.9667,102.5,-1.71,96,99,8.88,overcast clouds
294,Iskateley,RU,67.6803,53.1512,32.94,97,100,11.18,overcast clouds
295,Faya,SA,18.3851,42.4509,59.0,62,0,6.33,clear sky
296,Taltal,CL,-25.4,-70.4833,65.28,74,0,3.44,clear sky
297,Segezha,RU,63.7415,34.3222,34.34,96,100,10.29,overcast clouds
298,Novooleksiyivka,UA,46.2269,34.6428,41.77,73,99,8.72,overcast clouds
299,Hoopstad,ZA,-27.8327,25.9083,60.87,50,1,7.47,clear sky
300,Narsaq,GL,60.9167,-46.05,19.4,53,0,4.61,clear sky
301,Tecoanapa,MX,16.5167,-98.75,79.25,67,4,7.27,clear sky
302,Eirunepe,BR,-6.6603,-69.8736,74.23,95,100,1.43,overcast clouds
303,Bud,US,39.447,-86.1758,42.01,60,7,11.3,clear sky
304,Mae Hong Son,TH,19.3003,97.9685,75.2,69,20,0.72,mist
305,Pasighat,IN,28.0667,95.3333,75.07,23,0,1.45,clear sky
306,Chokurdakh,RU,70.6333,147.9167,-0.8,95,97,4.81,overcast clouds
307,Sosua,DO,19.7667,-70.5167,75.2,100,20,8.05,few clouds
308,Teahupoo,PF,-17.8333,-149.2667,86.0,58,40,16.11,light rain
309,Deputatskiy,RU,69.3,139.9,9.09,87,98,2.75,overcast clouds
310,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,0,9.22,clear sky
311,Kahului,US,20.8947,-156.47,77.0,61,40,18.41,scattered clouds
312,Jiwani,PK,25.05,61.7417,78.48,70,100,5.93,overcast clouds
313,Airai,TL,-8.9266,125.4092,61.57,97,100,2.84,moderate rain
314,Kurchum,KZ,48.5722,83.6542,32.92,99,100,3.2,overcast clouds
315,Road Town,VG,18.4167,-64.6167,78.01,83,40,13.8,scattered clouds
316,Prince Rupert,CA,54.3161,-130.3201,44.6,53,75,10.36,broken clouds
317,Sistranda,NO,63.7256,8.834,41.0,87,75,9.22,broken clouds
318,Axim,GH,4.8699,-2.2405,78.62,89,11,5.97,few clouds
319,Teguise,ES,29.0605,-13.564,62.6,82,20,3.44,few clouds
320,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,84,75,12.66,broken clouds
321,Bandarbeyla,SO,9.4942,50.8122,75.83,74,66,3.58,broken clouds
322,Hongjiang,CN,27.11,109.9956,76.24,74,89,4.52,overcast clouds
323,Isabela,PH,6.7085,121.9711,86.0,79,75,1.14,broken clouds
324,Carnarvon,AU,-24.8667,113.6333,78.8,89,0,5.75,clear sky
325,Mosetse,BW,-20.75,26.65,63.57,77,10,15.68,clear sky
326,Altay,CN,47.8667,88.1167,36.16,97,100,0.76,overcast clouds
327,San Patricio,US,28.017,-97.5169,57.99,72,90,13.8,overcast clouds
328,Luderitz,NA,-26.6481,15.1594,60.93,86,0,5.21,clear sky
329,Waipawa,NZ,-41.4122,175.5153,64.99,94,90,20.71,moderate rain
330,Nago,JP,26.5881,127.9761,73.4,94,75,5.75,mist
331,Sarangani,PH,5.4033,125.4636,81.63,74,96,2.26,overcast clouds
332,Meulaboh,ID,4.1363,96.1285,77.52,85,91,5.3,overcast clouds
