City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Eyl,SO,2021-03-28 15:15:50,7.9803,49.8164,80.71,69,34,13.42
227,Lorengau,PG,2021-03-28 15:15:51,-2.0226,147.2712,81.99,78,90,8.95
228,Kruisfontein,ZA,2021-03-28 15:15:51,-34.0033,24.7314,68.0,66,99,7.0
229,Kavieng,PG,2021-03-28 15:15:51,-2.5744,150.7967,83.1,76,74,14.9
230,Padang,ID,2021-03-28 15:15:51,-0.9492,100.3543,75.2,100,75,4.61
231,Lebu,CL,2021-03-28 15:15:52,-37.6167,-73.65,62.15,64,4,15.43
232,Los Llanos De Aridane,ES,2021-03-28 15:15:52,28.6585,-17.9182,68.0,68,40,2.3
233,Tuatapere,NZ,2021-03-28 15:15:52,-46.1333,167.6833,54.0,97,100,3.04
234,Vossevangen,NO,2021-03-28 15:15:52,60.623,6.4229,42.01,88,100,1.99
235,Dakar,SN,2021-03-28 15:15:53,14.6937,-17.4441,73.4,68,0,19.57
236,Beringovskiy,RU,2021-03-28 15:15:53,63.05,179.3167,11.01,95,100,16.37
237,Port-Gentil,GA,2021-03-28 15:15:53,-0.7193,8.7815,82.4,78,40,11.5
238,Miri,MY,2021-03-28 15:15:53,4.4148,114.0089,80.6,89,40,2.3
239,Codrington,AU,2021-03-28 15:15:54,-38.2667,141.9667,55.15,94,3,6.76
240,Bathsheba,BB,2021-03-28 15:15:54,13.2167,-59.5167,82.4,57,75,24.16
241,Newport,GB,2021-03-28 15:15:54,51.5877,-2.9984,57.0,83,100,5.01
242,Maniitsoq,GL,2021-03-28 15:15:54,65.4167,-52.9,2.61,47,14,2.39
243,Hithadhoo,MV,2021-03-28 15:15:55,-0.6,73.0833,82.53,76,100,17.49
244,Saint-Francois,FR,2021-03-28 15:15:55,46.4154,3.9054,62.6,34,0,2.3
245,Wynyard,AU,2021-03-28 15:15:55,-41.0,145.7167,51.87,68,20,11.01
246,Boa Vista,BR,2021-03-28 15:15:55,2.8197,-60.6733,86.0,54,90,17.27
247,Boissevain,CA,2021-03-28 15:15:56,49.2306,-100.0559,33.01,47,1,11.5
248,Tagusao,PH,2021-03-28 15:15:56,9.1924,117.8141,80.64,79,74,5.93
249,Nago,JP,2021-03-28 15:15:56,26.5881,127.9761,71.6,94,75,4.16
250,Waw,SS,2021-03-28 15:15:56,7.7029,27.9953,98.08,10,1,7.7
251,Sinnamary,GF,2021-03-28 15:15:57,5.3833,-52.95,80.71,82,99,14.97
252,Urusha,RU,2021-03-28 15:15:57,54.05,122.9,28.53,97,100,7.07
253,Port Macquarie,AU,2021-03-28 15:13:40,-31.4333,152.9167,64.99,99,88,4.12
254,Minervino Murge,IT,2021-03-28 15:15:57,41.0843,16.0784,64.0,63,11,5.01
255,Powell,US,2021-03-28 15:15:58,40.1578,-83.0752,50.0,81,90,20.71
256,Sechura,PE,2021-03-28 15:15:58,-5.5569,-80.8222,77.83,58,93,6.67
257,Tura,IN,2021-03-28 15:15:58,25.5198,90.2201,76.59,17,0,3.83
258,Bismarck,US,2021-03-28 15:12:53,46.8083,-100.7837,33.8,75,90,6.91
259,Ayan,RU,2021-03-28 15:15:58,56.45,138.1667,13.78,92,98,3.65
260,San Policarpo,PH,2021-03-28 15:15:59,12.1791,125.5072,80.08,83,100,8.59
261,Naranjal,EC,2021-03-28 15:15:59,-2.6667,-79.6167,82.4,74,75,4.61
262,Vangaindrano,MG,2021-03-28 15:15:59,-23.35,47.6,76.69,87,37,5.91
263,Egvekinot,RU,2021-03-28 15:15:59,66.3167,-179.1667,4.51,84,100,11.07
264,Montepuez,MZ,2021-03-28 15:16:00,-13.1256,38.9997,74.08,89,81,1.95
265,Cajati,BR,2021-03-28 15:16:00,-24.7361,-48.1228,89.56,52,67,3.2
266,Ossora,RU,2021-03-28 15:16:00,59.2353,163.0719,0.84,80,0,9.19
267,Manggar,ID,2021-03-28 15:13:22,-2.8833,108.2667,81.82,75,66,1.66
268,Svetlaya,RU,2021-03-28 15:16:01,46.5389,138.3297,33.58,95,100,12.37
269,Lufilufi,WS,2021-03-28 15:16:01,-13.8745,-171.5986,73.4,100,75,3.44
270,Tubuala,PA,2021-03-28 15:16:01,9.5167,-79.0333,89.6,48,20,12.66
271,Cabo San Lucas,MX,2021-03-28 15:15:34,22.8909,-109.9124,69.01,55,75,0.92
272,Olafsvik,IS,2021-03-28 15:16:01,64.8945,-23.7142,31.14,79,100,16.75
273,Shingu,JP,2021-03-28 15:16:02,33.7333,135.9833,62.29,95,100,5.35
274,Wamba,NG,2021-03-28 15:16:02,8.9333,8.6,102.38,9,1,8.16
275,Pochutla,MX,2021-03-28 15:16:02,15.7432,-96.4661,82.4,47,1,4.05
276,Buin,CL,2021-03-28 15:16:02,-33.7333,-70.75,78.01,26,0,3.44
277,Palu,ID,2021-03-28 15:13:15,-0.8917,119.8707,76.1,94,98,1.45
278,Haines Junction,CA,2021-03-28 15:16:03,60.7522,-137.5108,12.2,57,38,3.44
279,Willowmore,ZA,2021-03-28 15:16:03,-33.2926,23.4895,70.11,25,100,9.69
280,Asfi,MA,2021-03-28 15:16:03,32.2994,-9.2372,71.78,48,93,17.78
281,Itoman,JP,2021-03-28 15:16:03,26.1247,127.6694,71.6,94,75,2.3
282,Andijon,UZ,2021-03-28 15:16:04,40.7821,72.3442,48.0,98,100,28.99
283,Kirksville,US,2021-03-28 15:15:52,40.1948,-92.5833,43.0,61,1,14.97
284,Dongzhen,CN,2021-03-28 15:16:04,22.3797,110.9389,76.17,80,40,3.65
285,Tallahassee,US,2021-03-28 15:12:18,30.4383,-84.2807,78.8,65,90,11.5
286,Nantucket,US,2021-03-28 15:13:47,41.2835,-70.0995,46.4,93,90,19.57
287,Wanaka,NZ,2021-03-28 15:16:04,-44.7,169.15,58.21,82,100,4.97
288,Provideniya,RU,2021-03-28 15:16:05,64.3833,-173.3,2.07,96,100,22.95
289,Ortigueira,BR,2021-03-28 15:16:05,-24.2083,-50.9494,78.76,66,31,4.99
290,Hanmer Springs,NZ,2021-03-28 15:16:05,-42.5167,172.8167,58.06,92,100,5.55
291,Dwarka,IN,2021-03-28 15:16:05,22.2394,68.9678,80.28,72,12,14.09
292,Meulaboh,ID,2021-03-28 15:16:06,4.1363,96.1285,78.08,85,89,1.7
293,Okrika,NG,2021-03-28 15:16:06,4.7416,7.0849,95.0,49,75,3.44
294,Buala,SB,2021-03-28 15:16:06,-8.145,159.5921,80.51,82,66,8.05
